title,description,News Feed,Extraction Date,
Actor Bob Hoskins dies aged 71,"British actor Bob Hoskins, best known for films such as Who Framed Roger Rabbit and The Long Good Friday, dies of pneumonia at the age of 71.",BBC,4/30/2014,
Adams arrested and mail 'robbery' - front pages,"The arrest of Sinn Fein leader Gerry Adams leads some papers, while others focus on criticism of the privatisation of Royal Mail.",BBC,4/30/2014,
Alliance Party office petrol bombed,"Seven bombs are thrown at an Alliance Party office in east Belfast, the police say.",BBC,4/30/2014,
Alves banana campaign was planned,The social media campaign against racism in support of Barcelona's Dani Alves was planned in advance by Neymar.,BBC,4/30/2014,
Are conservatives deserting Sarah Palin?,Are conservatives now deserting Sarah Palin?,BBC,4/30/2014,
Arrest in Alves banana racism case,Spanish police say they have arrested a spectator suspected of throwing a banana at Barcelona's Brazilian footballer Dani Alves in a match last week.,BBC,4/30/2014,
AUDIO: Call for action on abducted girls,The Nigerian government has been criticised for not doing enough to find and release some 190 schoolgirls abducted by militants two weeks ago.,BBC,4/30/2014,
AUDIO: Gambler went to buy milk and lost £5k,"A secret gambler has described how he went out to buy a pint of milk and gambled away £5,000 at a betting shop.",BBC,4/30/2014,
Baby ashes scandal 'a great tragedy',"Parents affected by the Mortonhall scandal were not told that ashes were left after their babies were cremated because it would have been ""too distressing"".",BBC,4/30/2014,
Bercow cuts off Cameron at PMQs,"Speaker John Bercow cuts off David Cameron at Prime Minister's Questions, telling him he has said enough.",BBC,4/30/2014,
Botched US execution sparks review,"The governor of the US state of Oklahoma orders a ""full review"" of the state's execution procedures following a botched execution.",BBC,4/30/2014,
Boy charged with teacher's murder,A 15-year-old boy is charged with the murder of a teacher who was stabbed at a school in Leeds.,BBC,4/30/2014,
Boy quizzed again on stabbed teacher,A 15-year-old boy is due to be questioned by police for a third day about the fatal stabbing of a teacher attacked in front of her pupils.,BBC,4/30/2014,
Care home CCTV 'could be considered',"There ""could be a role"" for CCTV in care homes, Care Minister Norman Lamb says after an undercover BBC Panorama investigation finds residents of one being mistreated.",BBC,4/30/2014,
Care homes: The known and the unknown,How widespread is abuse of vulnerable care home residents?,BBC,4/30/2014,
CCTV shows man tasered by PC in cell,The BBC obtains footage of a police officer tasering a naked man in a Wiltshire police cell.,BBC,4/30/2014,
Chelsea 1-3 Atletico Madrid (agg 1-3),Atletico Madrid come from behind to beat Chelsea and set up a meeting with city rivals Real in the Champions League final.,BBC,4/30/2014,
'Child recruits' in South Sudan war,"More than 9,000 child soldiers are fighting in South Sudan's brutal civil war as the country faces the threat of famine, the UN human rights chief says.",BBC,4/30/2014,
Children 'killed in Aleppo strike',"An air strike by Syrian government forces hits a school in Aleppo and kills at least 18 people, including 10 children, activists say.",BBC,4/30/2014,
Council bans staff smoking e-cigs,Staff are to be banned from using electronic cigarettes in Caerphilly council-owned buildings and vehicles.,BBC,4/30/2014,
Day in pictures: 30 April 2014,News photos from past 24 hours: 30 April,BBC,4/30/2014,
Deadly attack at Chinese station,"A bomb and knife attack at a railway station in China's Xinjiang region leaves three dead and 79 others wounded, state media say.",BBC,4/30/2014,
Derailed train bursts into flames,"A train derails and catches fire in the US state of Virginia, forcing the evacuation of hundreds from nearby buildings.",BBC,4/30/2014,
Donald Trump confirms Turnberry buy,US property tycoon Donald Trump confirms that he has bought the Turnberry golf resort and hotel in Ayrshire.,BBC,4/30/2014,
Drug resistance 'global threat',"Resistance to antibiotics poses a ""major global threat"" to public health, according to a report by the World Health Organization.",BBC,4/30/2014,
England's Walker doubt for World Cup,England manager Roy Hodgson says Tottenham defender Kyle Walker is doubtful for the World Cup because of a pelvic injury.,BBC,4/30/2014,
Europe rejects UK financial tax case,"Europe's top court rejects the UK's challenge to an EU financial transactions tax (FTT), which ministers have said will hurt British firms and savers.",BBC,4/30/2014,
Facebook to place ads in other apps,"Facebook announces its own mobile ad network to place adverts inside third-party apps, putting it into competition with Google and Apple.",BBC,4/30/2014,
Farage 'MP bid' and teacher tributes - papers,Some papers view the prospect of a by-election in Newark as an opportunity for UKIP's Nigel Farage. Others focus on tributes to murdered teacher Ann Maguire.,BBC,4/30/2014,
Farage to make by-election decision,UKIP leader Nigel Farage is expected to announce whether he will stand in a by-election caused by the resignation of former Tory MP Patrick Mercer.,BBC,4/30/2014,
Farage will not stand in by-election,UKIP leader Nigel Farage tells the BBC he will not stand in a by-election caused by ex-Tory MP Patrick Mercer's resignation.,BBC,4/30/2014,
Fibre 'helps heart-attack survivors',"If you have had a heart attack, eat plenty of fibre because it may improve your long-term chances of recovery, say researchers.",BBC,4/30/2014,
Gerry Adams held over widow's murder,Sinn Féin leader Gerry Adams is arrested by Northern Ireland police in connection with the 1972 murder of widow and mother-of-10 Jean McConville.,BBC,4/30/2014,
Government backs UK spaceport plan,"The government backs plans for a UK spaceport and a huge expansion of the UK space industry, which it hopes can achieve a value of £40bn by 2030.",BBC,4/30/2014,
How the US Communist Party survived,The curious survival of the US Communist Party,BBC,4/30/2014,
I didn't bottle by-election - Farage,"UKIP leader Nigel Farage insists he did not ""bottle it"" by deciding against running in the by-election to replace MP Patrick Mercer.",BBC,4/30/2014,
IMF approves $17bn Ukraine bailout,"The International Monetary Fund approves a bailout for Ukraine, to help the country's beleaguered economy.",BBC,4/30/2014,
