Transaction,Items
A0051,rolls/buns
A0051,sausage
A0052,canned beer
A0053,grapes
A0053,ham
A0053,other vegetables
A0053,whole milk
A0054,baking powder
A0054,brown bread
A0054,curd
A0054,domestic eggs
A0054,fruit/vegetable juice
A0054,margarine
A0054,other vegetables
A0054,semi-finished bread
A0054,tropical fruit
A0054,turkey
A0055,pickled vegetables
A0055,processed cheese
A0055,soda
A0055,whole milk
A0055,yogurt
A0056,curd
A0056,pastry
A0056,whole milk
A0056,yogurt
A0057,brown bread
A0057,canned beer
A0057,packaged fruit/vegetables
A0058,bottled water
A0058,chewing gum
A0058,chocolate marshmallow
A0058,hygiene articles
A0058,napkins
A0058,oil
A0058,rolls/buns
A0059,beef
A0059,cat food
A0059,ham
A0059,ice cream
A0059,rolls/buns
A0059,whipped/sour cream
A0060,pastry
A0060,rolls/buns
A0060,sugar
A0061,canned fish
A0061,detergent
A0061,frozen vegetables
A0061,other vegetables
A0061,salty snack
A0061,seasonal products
A0061,whole milk
A0062,pastry
A0062,sausage
A0063,beef
A0063,sausage
A0063,whole milk
A0064,brown bread
A0064,frankfurter
A0064,rolls/buns
A0064,sugar
A0064,tropical fruit
A0065,pastry
A0065,rolls/buns
A0065,soda
A0066,whole milk
A0067,coffee
A0067,curd cheese
A0068,newspapers
A0068,red/blush wine
A0069,curd
A0069,sausage
A0069,whole milk
A0070,berries
A0070,chocolate
A0070,frozen potato products
A0070,pickled vegetables
A0070,pip fruit
A0070,rolls/buns
A0070,tropical fruit
A0070,whole milk
A0071,red/blush wine
A0072,butter
A0072,candles
A0072,flower (seeds)
A0072,margarine
A0072,specialty chocolate
A0072,specialty fat
A0072,whole milk
A0073,citrus fruit
A0073,domestic eggs
A0073,frankfurter
A0073,newspapers
A0073,oil
A0073,sparkling wine
A0073,specialty chocolate
A0073,whole milk
A0074,meat spreads
A0074,soda
A0074,whole milk
A0075,frozen potato products
A0076,other vegetables
A0076,rolls/buns
A0076,sugar
A0076,whole milk
A0077,butter milk
A0077,citrus fruit
A0077,curd
A0077,pastry
A0077,whole milk
A0078,bottled beer
A0078,bottled water
A0078,flour
A0078,fruit/vegetable juice
A0078,salt
A0079,bottled beer
A0079,bottled water
A0079,soda
A0079,sugar
A0080,coffee
A0080,frozen meals
A0081,chocolate
A0082,bathroom cleaner
A0082,canned vegetables
A0082,domestic eggs
A0082,frozen vegetables
A0082,fruit/vegetable juice
A0082,margarine
A0082,oil
A0082,rolls/buns
A0082,root vegetables
A0082,whole milk
A0083,frozen vegetables
A0083,hard cheese
A0083,onions
A0083,root vegetables
A0084,candles
A0084,condensed milk
A0084,frozen vegetables
A0084,herbs
A0084,oil
A0084,salt
A0084,white wine
A0085,bottled water
A0086,brandy
A0086,detergent
A0086,onions
A0086,rolls/buns
A0086,root vegetables
A0086,sausage
A0086,yogurt
A0087,coffee
A0087,newspapers
A0088,other vegetables
A0088,pork
A0088,whipped/sour cream
A0089,berries
A0089,yogurt
A0090,soda
A0091,berries
A0092,candles
A0092,fruit/vegetable juice
A0092,salty snack
A0093,butter milk
A0093,citrus fruit
A0093,cream cheese 
A0093,yogurt
A0094,berries
A0094,chocolate
A0094,citrus fruit
A0094,coffee
A0094,hamburger meat
A0094,onions
A0094,pork
A0094,rice
A0094,whipped/sour cream
A0095,detergent
A0096,grapes
A0096,photo/film
A0097,brown bread
A0097,canned beer
A0097,fruit/vegetable juice
A0097,red/blush wine
A0097,rolls/buns
A0097,sausage
A0097,shopping bags
A0097,sliced cheese
A0097,waffles
A0098,butter
A0098,chicken
A0098,citrus fruit
A0098,detergent
A0098,hamburger meat
A0098,oil
A0098,other vegetables
A0098,pasta
A0098,root vegetables
A0098,tropical fruit
A0099,brown bread
A0099,whole milk
A0099,yogurt
A0100,citrus fruit
A0100,tropical fruit
A0101,misc. beverages
A0101,soda
A0102,bathroom cleaner
A0102,grapes
A0102,pastry
A0102,pork
A0102,rolls/buns
A0102,sausage
A0102,soda
A0102,specialty bar
A0102,whole milk
A0103,bottled water
A0103,frankfurter
A0103,rolls/buns
A0104,bottled beer
A0104,coffee
A0104,fruit/vegetable juice
A0104,napkins
A0104,photo/film
A0104,sausage
A0104,shopping bags
A0104,softener
A0104,whole milk
A0104,yogurt
A0105,soda
A0106,fruit/vegetable juice
A0106,rolls/buns
A0107,beef
A0107,berries
A0107,brown bread
A0107,citrus fruit
A0107,detergent
A0107,root vegetables
A0108,candy
A0108,cling film/bags
A0108,rolls/buns
A0108,soda
A0108,waffles
A0108,whipped/sour cream
A0108,whole milk
A0109,processed cheese
A0110,pip fruit
A0110,tropical fruit
A0111,bottled beer
A0111,chewing gum
A0111,dishes
A0111,frankfurter
A0111,oil
A0111,other vegetables
A0111,pickled vegetables
A0111,rolls/buns
A0111,root vegetables
A0111,sausage
A0112,bottled water
A0112,packaged fruit/vegetables
A0113,bottled water
A0113,dessert
A0113,frozen vegetables
A0113,margarine
A0113,newspapers
A0113,red/blush wine
A0113,rolls/buns
A0113,whole milk
A0114,berries
A0114,whipped/sour cream
A0115,berries
A0115,citrus fruit
A0115,processed cheese
A0115,UHT-milk
A0116,tropical fruit
A0116,whole milk
A0116,yogurt
A0117,bottled beer
A0117,frozen vegetables
A0117,hamburger meat
A0117,rolls/buns
A0117,sparkling wine
A0117,whole milk
A0118,dishes
A0118,domestic eggs
A0118,frozen vegetables
A0118,hamburger meat
A0118,other vegetables
A0118,soda
A0118,whole milk
A0119,cream cheese 
A0119,soda
A0119,whole milk
A0120,coffee
A0120,fish
A0120,long life bakery product
A0120,male cosmetics
A0120,margarine
A0120,other vegetables
A0120,pastry
A0120,shopping bags
A0121,frankfurter
A0121,long life bakery product
A0121,sausage
A0121,waffles
A0122,canned beer
A0122,dessert
A0122,packaged fruit/vegetables
A0122,semi-finished bread
A0123,pastry
A0123,soda
A0124,other vegetables
A0124,red/blush wine
A0125,misc. beverages
A0126,canned fruit
A0126,citrus fruit
A0126,cream cheese 
A0126,domestic eggs
A0126,frankfurter
A0126,fruit/vegetable juice
A0126,hard cheese
A0126,hygiene articles
A0126,misc. beverages
A0126,pip fruit
A0126,rice
A0126,sausage
A0126,sugar
A0126,tropical fruit
A0126,whole milk
A0127,sparkling wine
A0128,specialty bar
A0129,butter milk
A0129,rolls/buns
A0129,sausage
A0130,curd cheese
A0131,dessert
A0131,frankfurter
A0132,beverages
A0132,brown bread
A0132,shopping bags
A0132,whole milk
A0132,yogurt
A0133,newspapers
A0134,berries
A0134,soda
A0135,curd
A0135,flour
A0135,liquor (appetizer)
A0136,coffee
A0136,other vegetables
A0136,tropical fruit
A0137,soda
A0138,Instant food products
A0138,rolls/buns
A0139,canned beer
A0140,canned beer
A0141,frankfurter
A0141,margarine
A0141,rolls/buns
A0141,sausage
A0141,whole milk
A0142,canned beer
A0142,misc. beverages
A0142,other vegetables
A0143,frozen vegetables
A0143,whole milk
A0144,whole milk
A0145,butter
A0145,citrus fruit
A0145,cream cheese 
A0145,margarine
A0145,newspapers
A0145,oil
A0145,white bread
A0146,frankfurter
A0146,rolls/buns
A0147,baking powder
A0147,frankfurter
A0147,frozen vegetables
A0147,ham
A0147,other vegetables
A0147,pip fruit
A0147,rolls/buns
A0147,soft cheese
A0147,sugar
A0147,whole milk
A0148,butter milk
A0148,detergent
A0148,honey
A0148,soda
A0148,yogurt
A0149,bottled water
A0149,citrus fruit
A0149,dental care
A0149,hamburger meat
A0149,onions
A0149,rolls/buns
A0150,pasta
A0150,popcorn
A0151,cake bar
A0151,chocolate
A0151,meat spreads
A0151,other vegetables
A0151,shopping bags
A0151,whole milk
A0152,candles
A0152,citrus fruit
A0152,dessert
A0152,dishes
A0152,pork
A0152,sausage
A0152,white bread
A0153,rolls/buns
A0154,curd
A0154,dessert
A0154,grapes
A0154,napkins
A0154,other vegetables
A0154,yogurt
A0155,beverages
A0155,bottled beer
A0155,frozen vegetables
A0155,fruit/vegetable juice
A0155,other vegetables
A0155,root vegetables
A0155,soft cheese
A0155,whole milk
A0155,yogurt
A0156,coffee
A0156,shopping bags
A0157,popcorn
A0158,bottled water
A0158,rolls/buns
A0158,soda
A0158,sugar
A0158,whole milk
A0159,other vegetables
A0159,packaged fruit/vegetables
A0159,snack products
A0159,tropical fruit
A0159,whole milk
A0160,beef
A0160,cling film/bags
A0160,flour
A0160,flower soil/fertilizer
A0160,herbs
A0161,butter
A0161,dessert
A0161,rolls/buns
A0161,whole milk
A0162,chewing gum
A0162,frankfurter
A0162,soda
A0163,bottled water
A0163,specialty cheese
A0163,tropical fruit
A0164,canned beer
A0165,bottled beer
A0165,finished products
A0165,frozen vegetables
A0165,other vegetables
A0166,beverages
A0166,soda
A0167,hamburger meat
A0167,root vegetables
A0167,whole milk
A0168,long life bakery product
A0168,pastry
A0168,whole milk
A0169,finished products
A0169,shopping bags
A0169,white wine
A0170,other vegetables
A0171,bottled beer
A0171,brown bread
A0171,fruit/vegetable juice
A0171,ham
A0171,other vegetables
A0171,tropical fruit
A0171,white bread
A0171,whole milk
A0172,other vegetables
A0173,butter milk
A0173,cocoa drinks
A0173,curd
A0173,popcorn
A0173,salty snack
A0174,bottled beer
A0175,cake bar
A0175,chocolate
A0175,curd
A0175,dessert
A0175,salty snack
A0175,shopping bags
A0175,soda
A0175,waffles
A0176,cereals
A0176,cream cheese 
A0176,dog food
A0176,whole milk
A0177,salt
A0177,whole milk
A0178,dessert
A0178,ice cream
A0179,coffee
A0179,sausage
A0179,soft cheese
A0180,bottled water
A0180,dishes
A0180,other vegetables
A0180,shopping bags
A0180,waffles
A0181,ham
A0181,rolls/buns
A0181,whole milk
A0182,ice cream
A0182,other vegetables
A0183,bottled water
A0183,other vegetables
A0184,bottled beer
A0184,prosecco
A0184,soda
A0184,white wine
A0185,candy
A0185,herbs
A0186,bottled beer
A0186,butter
A0186,cereals
A0186,cream cheese 
A0186,curd
A0186,domestic eggs
A0186,frankfurter
A0186,frozen fish
A0186,frozen meals
A0186,fruit/vegetable juice
A0186,ham
A0186,other vegetables
A0186,pip fruit
A0186,root vegetables
A0186,sliced cheese
A0186,soft cheese
A0186,sugar
A0186,tropical fruit
A0186,waffles
A0186,whipped/sour cream
A0186,white bread
A0186,whole milk
A0186,yogurt
A0187,canned beer
A0187,rolls/buns
A0188,cake bar
A0188,cream cheese 
A0188,curd
A0188,semi-finished bread
A0188,shopping bags
A0188,specialty bar
A0188,zwieback
A0189,frankfurter
A0189,margarine
A0189,shopping bags
A0189,spread cheese
A0189,tropical fruit
A0189,whole milk
A0190,other vegetables
A0191,dog food
A0192,specialty bar
A0193,curd
A0193,detergent
A0193,liquor (appetizer)
A0193,salt
A0193,shopping bags
A0194,frankfurter
A0194,rolls/buns
A0195,soda
A0196,beef
A0196,berries
A0196,brown bread
A0196,dessert
A0196,root vegetables
A0196,spread cheese
A0196,whole milk
A0197,canned beer
A0198,beef
A0198,herbs
A0198,pip fruit
A0198,pork
A0198,spices
A0199,citrus fruit
A0199,frankfurter
A0199,margarine
A0199,sugar
A0199,UHT-milk
A0200,bottled beer
A0200,liquor (appetizer)
A0200,sausage
A0201,canned beer
A0202,specialty chocolate
A0203,curd
A0203,rolls/buns
A0204,canned beer
A0205,bottled water
A0205,newspapers
A0205,whole milk
A0206,chewing gum
A0206,rolls/buns
A0207,dishes
A0207,other vegetables
A0207,pork
A0207,root vegetables
A0207,whole milk
A0208,citrus fruit
A0208,pastry
A0209,pot plants
A0210,pastry
A0210,rolls/buns
A0210,soda
A0211,bottled water
A0211,butter
A0211,hygiene articles
A0211,make up remover
A0211,soda
A0211,yogurt
A0212,coffee
A0212,condensed milk
A0212,shopping bags
A0212,sugar
A0213,other vegetables
A0213,sausage
A0213,shopping bags
A0213,soda
A0213,yogurt
A0214,beverages
A0214,soda
A0214,UHT-milk
A0214,whole milk
A0215,beef
A0215,margarine
A0215,pork
A0215,rolls/buns
A0215,sausage
A0215,whole milk
A0216,beverages
A0217,beverages
A0217,specialty bar
A0218,bottled water
A0218,fruit/vegetable juice
A0219,newspapers
A0220,cleaner
A0220,female sanitary products
A0221,newspapers
A0221,sausage
A0221,shopping bags
A0221,soda
A0222,newspapers
A0223,beef
A0223,beverages
A0223,butter milk
A0223,citrus fruit
A0223,cookware
A0223,dish cleaner
A0223,hard cheese
A0223,other vegetables
A0223,rolls/buns
A0223,sausage
A0223,whipped/sour cream
A0223,whole milk
A0224,misc. beverages
A0224,newspapers
A0225,white wine
A0226,canned beer
A0226,rolls/buns
A0226,sausage
A0226,shopping bags
A0226,sliced cheese
A0226,soda
A0227,bottled beer
A0227,cake bar
A0227,curd
A0227,meat
A0228,baking powder
A0228,cling film/bags
A0228,frankfurter
A0228,meat
A0228,oil
A0228,onions
A0228,tea
A0228,tropical fruit
A0229,canned beer
A0229,ice cream
A0229,rolls/buns
A0230,canned beer
A0231,berries
A0231,bottled water
A0231,other vegetables
A0231,root vegetables
A0231,shopping bags
A0231,tropical fruit
A0232,beverages
A0232,bottled water
A0232,brown bread
A0232,butter milk
A0232,citrus fruit
A0232,cream cheese 
A0232,curd
A0232,dessert
A0232,meat
A0232,other vegetables
A0232,rolls/buns
A0232,tea
A0233,bottled water
A0233,mustard
A0233,whole milk
A0234,beef
A0234,beverages
A0234,flower (seeds)
A0234,house keeping products
A0234,rolls/buns
A0234,sausage
A0234,sliced cheese
A0234,spices
A0235,butter
A0235,curd
A0235,frankfurter
A0235,long life bakery product
A0235,rolls/buns
A0235,root vegetables
A0235,salty snack
A0235,sausage
A0235,sliced cheese
A0236,butter
A0236,meat
A0236,other vegetables
A0236,rolls/buns
A0237,beverages
A0237,detergent
A0237,Instant food products
A0237,pickled vegetables
A0237,root vegetables
A0238,herbs
A0238,other vegetables
A0238,rolls/buns
A0238,root vegetables
A0238,sliced cheese
A0238,whole milk
A0239,margarine
A0239,semi-finished bread
A0239,whipped/sour cream
A0239,whole milk
A0240,canned fish
A0240,canned vegetables
A0240,cereals
A0240,citrus fruit
A0240,curd
A0240,dessert
A0240,frozen dessert
A0240,hygiene articles
A0240,napkins
A0240,rolls/buns
A0240,salt
A0240,skin care
A0240,sugar
A0240,whipped/sour cream
A0240,whole milk
A0240,yogurt
A0241,candy
A0241,citrus fruit
A0241,curd
A0241,margarine
A0241,newspapers
A0241,pastry
A0241,sugar
A0242,bottled beer
A0242,bottled water
A0242,misc. beverages
A0242,napkins
A0242,other vegetables
A0242,red/blush wine
A0242,soda
A0242,whole milk
A0243,citrus fruit
A0243,rolls/buns
A0243,whole milk
A0244,hygiene articles
A0244,napkins
A0244,oil
A0244,sausage
A0245,beef
A0245,bottled beer
A0245,bottled water
A0245,butter
A0245,frankfurter
A0245,frozen dessert
A0245,grapes
A0245,hamburger meat
A0245,potato products
A0245,root vegetables
A0245,whole milk
A0246,bottled water
A0246,hard cheese
A0246,newspapers
A0246,rolls/buns
A0247,chocolate
A0247,cream cheese 
A0247,rolls/buns
A0247,soda
A0248,beef
A0248,dishes
A0248,frozen vegetables
A0248,photo/film
A0248,turkey
A0249,other vegetables
A0249,pork
A0249,rolls/buns
A0249,shopping bags
A0249,soda
A0249,whipped/sour cream
A0250,beverages
A0250,whole milk
A0251,rolls/buns
A0251,soda
A0252,bottled water
A0252,curd
A0252,hygiene articles
A0252,pip fruit
A0252,rolls/buns
A0252,sausage
A0252,sliced cheese
A0252,whole milk
A0252,yogurt
A0253,ice cream
A0254,liquor
A0255,fruit/vegetable juice
A0255,other vegetables
A0255,pip fruit
A0256,other vegetables
A0256,root vegetables
A0256,yogurt
A0257,soda
A0258,soda
A0259,bottled water
A0259,chocolate
A0259,citrus fruit
A0259,newspapers
A0259,other vegetables
A0259,rolls/buns
A0259,sausage
A0259,soda
A0259,tropical fruit
A0259,whole milk
A0259,yogurt
A0260,detergent
A0260,pet care
A0260,root vegetables
A0260,whole milk
A0261,berries
A0261,other vegetables
A0261,pastry
A0261,pork
A0261,root vegetables
A0261,specialty bar
A0262,pork
A0263,chocolate
A0264,fruit/vegetable juice
A0265,coffee
A0265,pickled vegetables
A0266,bottled water
A0267,butter
A0267,frankfurter
A0267,margarine
A0267,rolls/buns
A0267,sausage
A0267,spices
A0267,whipped/sour cream
A0268,domestic eggs
A0268,hygiene articles
A0268,napkins
A0268,onions
A0268,other vegetables
A0268,pip fruit
A0268,soda
A0268,soups
A0268,sugar
A0268,tea
A0268,tropical fruit
A0268,whole milk
A0269,canned beer
A0270,root vegetables
A0271,berries
A0271,citrus fruit
A0271,meat
A0271,root vegetables
A0271,soda
A0271,whole milk
A0272,bottled water
A0272,frankfurter
A0272,fruit/vegetable juice
A0272,hygiene articles
A0272,rolls/buns
A0273,margarine
A0273,rum
A0273,tropical fruit
A0274,butter milk
A0274,flour
A0274,herbs
A0274,hygiene articles
A0274,root vegetables
A0274,tropical fruit
A0274,whipped/sour cream
A0274,whole milk
A0275,baking powder
A0275,brown bread
A0275,citrus fruit
A0275,cream cheese 
A0275,domestic eggs
A0275,margarine
A0275,other vegetables
A0275,pip fruit
A0275,root vegetables
A0275,waffles
A0275,whole milk
A0276,bottled water
A0276,curd
A0276,fruit/vegetable juice
A0276,hamburger meat
A0276,margarine
A0276,other vegetables
A0276,pastry
A0276,rolls/buns
A0276,semi-finished bread
A0276,whole milk
A0276,yogurt
A0277,chicken
A0277,dessert
A0277,other vegetables
A0277,pasta
A0277,pip fruit
A0277,rolls/buns
A0277,soda
A0277,waffles
A0277,whipped/sour cream
A0277,whole milk
A0277,yogurt
A0278,chicken
A0278,citrus fruit
A0278,frozen fish
A0278,rolls/buns
A0278,root vegetables
A0278,tropical fruit
A0278,whole milk
A0279,citrus fruit
A0279,frankfurter
A0279,onions
A0279,other vegetables
A0279,rolls/buns
A0279,soda
A0279,sugar
A0279,whole milk
A0280,canned beer
A0281,pastry
A0281,pip fruit
A0281,salad dressing
A0281,turkey
A0282,bottled water
A0282,brown bread
A0282,curd
A0282,domestic eggs
A0282,misc. beverages
A0282,mustard
A0282,packaged fruit/vegetables
A0282,pickled vegetables
A0282,whole milk
A0282,yogurt
A0283,pasta
A0284,citrus fruit
A0284,tropical fruit
A0285,brown bread
A0285,pot plants
A0285,rolls/buns
A0285,sausage
A0285,whole milk
A0285,yogurt
A0286,frozen meals
A0286,fruit/vegetable juice
A0286,pastry
A0286,waffles
A0286,whole milk
A0287,canned beer
A0288,citrus fruit
A0288,sauces
A0288,sugar
A0289,liquor (appetizer)
A0290,citrus fruit
A0290,other vegetables
A0290,rolls/buns
A0290,salty snack
A0290,shopping bags
A0291,sausage
A0292,bottled water
A0292,canned beer
A0292,chicken
A0292,napkins
A0292,newspapers
A0292,oil
A0292,other vegetables
A0292,vinegar
A0292,whole milk
A0293,flour
A0293,hamburger meat
A0293,margarine
A0293,other vegetables
A0293,root vegetables
A0293,specialty cheese
A0293,whipped/sour cream
A0293,whole milk
A0293,yogurt
A0294,dessert
A0294,oil
A0294,other vegetables
A0294,pork
A0294,sausage
A0294,soda
A0294,yogurt
A0295,abrasive cleaner
A0295,beef
A0295,berries
A0295,root vegetables
A0295,whipped/sour cream
A0295,whole milk
A0296,bottled water
A0296,citrus fruit
A0296,packaged fruit/vegetables
A0296,yogurt
A0297,coffee
A0297,UHT-milk
A0298,candy
A0299,newspapers
A0300,beef
A0300,citrus fruit
A0300,other vegetables
A0300,yogurt
A0301,rolls/buns
A0301,sausage
A0302,beef
A0302,canned beer
A0302,curd
A0302,dessert
A0302,frankfurter
A0302,hygiene articles
A0302,mustard
A0302,napkins
A0302,pickled vegetables
A0302,rolls/buns
A0302,root vegetables
A0302,soft cheese
A0302,yogurt
A0303,canned beer
A0304,bottled beer
A0305,chewing gum
A0305,chocolate
A0305,newspapers
A0305,onions
A0305,soda
A0306,candy
A0306,cream cheese 
A0306,packaged fruit/vegetables
A0306,tropical fruit
A0306,white bread
A0307,bottled water
A0307,white wine
A0308,beef
A0308,pasta
A0308,pastry
A0308,soap
A0308,white bread
A0309,abrasive cleaner
A0309,candy
A0309,chicken
A0309,cleaner
A0309,root vegetables
A0309,sausage
A0309,tropical fruit
A0309,whole milk
A0309,yogurt
A0310,hair spray
A0311,chicken
A0311,long life bakery product
A0311,shopping bags
A0311,spices
A0311,whole milk
A0312,brown bread
A0312,cat food
A0312,citrus fruit
A0312,pastry
A0312,pork
A0312,sugar
A0313,ice cream
A0314,bottled beer
A0314,hard cheese
A0314,meat
A0315,brown bread
A0315,instant coffee
A0315,other vegetables
A0315,yogurt
A0316,bottled water
A0316,cake bar
A0317,salty snack
A0317,soda
A0317,tropical fruit
A0318,photo/film
A0319,canned beer
A0319,citrus fruit
A0319,coffee
A0319,dishes
A0319,sausage
A0319,soda
A0319,yogurt
A0320,grapes
A0320,root vegetables
A0321,brown bread
A0321,domestic eggs
A0321,photo/film
A0322,canned beer
A0322,canned fish
A0322,rolls/buns
A0323,tropical fruit
A0323,whole milk
A0324,chicken
A0325,bottled water
A0325,brown bread
A0325,frankfurter
A0325,other vegetables
A0325,yogurt
A0326,berries
A0326,butter milk
A0326,cream cheese 
A0326,curd
A0326,detergent
A0326,margarine
A0326,misc. beverages
A0326,other vegetables
A0326,roll products 
A0326,root vegetables
A0326,specialty chocolate
A0327,hygiene articles
A0327,margarine
A0328,rolls/buns
A0328,shopping bags
A0328,soda
A0328,tropical fruit
A0328,yogurt
A0329,candy
A0329,chocolate
A0329,ham
A0329,hard cheese
A0329,misc. beverages
A0329,other vegetables
A0329,rolls/buns
A0329,soda
A0329,whipped/sour cream
A0330,hamburger meat
A0330,salty snack
A0330,white bread
A0331,mayonnaise
A0331,napkins
A0331,rolls/buns
A0331,soda
A0331,yogurt
A0332,soda
A0332,specialty chocolate
A0333,yogurt
A0334,soda
A0335,bottled water
A0336,hamburger meat
A0336,meat
A0336,rubbing alcohol
A0336,sausage
A0337,beverages
A0337,citrus fruit
A0337,fruit/vegetable juice
A0337,hard cheese
A0337,pet care
A0337,pip fruit
A0337,soda
A0337,waffles
A0338,shopping bags
A0339,newspapers
A0340,curd
A0340,dish cleaner
A0340,frankfurter
A0340,frozen potato products
A0340,other vegetables
A0340,specialty bar
A0340,whole milk
A0340,zwieback
A0341,canned beer
A0341,citrus fruit
A0341,sausage
A0341,whole milk
A0342,frankfurter
A0342,rolls/buns
A0343,cookware
A0343,salt
A0343,salty snack
A0344,oil
A0345,beverages
A0345,cake bar
A0345,chewing gum
A0345,cream cheese 
A0345,curd
A0345,pastry
A0345,rolls/buns
A0345,soda
A0346,butter
A0346,other vegetables
A0346,specialty chocolate
A0347,citrus fruit
A0348,butter milk
A0348,frankfurter
A0348,whole milk
A0349,butter
A0349,mayonnaise
A0349,processed cheese
A0349,root vegetables
A0349,salty snack
A0349,whole milk
A0350,bottled beer
A0350,frozen meals
A0350,tropical fruit
A0350,whole milk
A0351,beef
A0351,hamburger meat
A0351,pip fruit
A0352,berries
A0352,cereals
A0352,shopping bags
A0352,waffles
A0352,whipped/sour cream
A0353,canned beer
A0354,canned beer
A0354,red/blush wine
A0354,whipped/sour cream
A0355,candy
A0355,chocolate marshmallow
A0355,domestic eggs
A0355,margarine
A0355,root vegetables
A0356,soda
A0356,whole milk
A0357,beef
A0358,frozen vegetables
A0359,bottled beer
A0359,rolls/buns
A0360,hygiene articles
A0360,whole milk
A0361,whole milk
A0362,citrus fruit
A0362,curd
A0362,soft cheese
A0362,whole milk
A0363,fruit/vegetable juice
A0363,pastry
A0364,brown bread
A0364,butter
A0364,frankfurter
A0364,pip fruit
A0364,pork
A0364,processed cheese
A0364,sausage
A0364,white bread
A0365,domestic eggs
A0365,root vegetables
A0365,tropical fruit
A0365,whipped/sour cream
A0365,whole milk
A0366,frankfurter
A0366,napkins
A0366,pastry
A0366,root vegetables
A0366,sausage
A0366,whipped/sour cream
A0366,yogurt
A0367,berries
A0367,cat food
A0367,curd
A0367,curd cheese
A0367,detergent
A0367,other vegetables
A0367,packaged fruit/vegetables
A0367,root vegetables
A0367,specialty bar
A0367,whole milk
A0368,bottled beer
A0368,brown bread
A0368,coffee
A0368,pastry
A0368,rolls/buns
A0369,coffee
A0369,curd
A0369,dessert
A0369,frozen vegetables
A0369,packaged fruit/vegetables
A0369,root vegetables
A0369,specialty fat
A0370,yogurt
A0371,bottled water
A0371,other vegetables
A0372,berries
A0372,white bread
A0373,berries
A0373,coffee
A0374,bottled water
A0374,butter milk
A0374,frozen meals
A0374,other vegetables
A0375,newspapers
A0375,rolls/buns
A0376,citrus fruit
A0376,ham
