Person ID,Party,Type,Vote
155A,republican,handicapped-infants,0
156A,republican,handicapped-infants,0
157A,republican,handicapped-infants,0
158A,republican,handicapped-infants,0
159A,republican,handicapped-infants,0
160A,republican,handicapped-infants,0
161A,democrat,handicapped-infants,1
162A,republican,handicapped-infants,0
163A,democrat,handicapped-infants,0
164A,democrat,handicapped-infants,1
165A,republican,handicapped-infants,0
166A,republican,handicapped-infants,0
167A,democrat,handicapped-infants,0
168A,democrat,handicapped-infants,1
169A,democrat,handicapped-infants,0
170A,democrat,handicapped-infants,1
171A,republican,handicapped-infants,0
172A,democrat,handicapped-infants,1
173A,republican,handicapped-infants,0
174A,democrat,handicapped-infants,1
175A,republican,handicapped-infants,0
176A,democrat,handicapped-infants,0
177A,democrat,handicapped-infants,1
178A,democrat,handicapped-infants,1
179A,republican,handicapped-infants,1
180A,republican,handicapped-infants,0
181A,republican,handicapped-infants,0
182A,democrat,handicapped-infants,0
183A,republican,handicapped-infants,0
184A,republican,handicapped-infants,0
185A,republican,handicapped-infants,1
186A,republican,handicapped-infants,0
187A,democrat,handicapped-infants,0
188A,republican,handicapped-infants,0
189A,republican,handicapped-infants,0
190A,republican,handicapped-infants,1
191A,republican,handicapped-infants,0
192A,republican,handicapped-infants,0
193A,democrat,handicapped-infants,1
194A,democrat,handicapped-infants,1
195A,republican,handicapped-infants,1
196A,republican,handicapped-infants,1
197A,democrat,handicapped-infants,0
198A,democrat,handicapped-infants,0
199A,republican,handicapped-infants,0
200A,republican,handicapped-infants,0
201A,democrat,handicapped-infants,0
202A,republican,handicapped-infants,0
203A,republican,handicapped-infants,0
204A,democrat,handicapped-infants,1
205A,democrat,handicapped-infants,1
206A,democrat,handicapped-infants,1
207A,democrat,handicapped-infants,1
208A,republican,handicapped-infants,1
209A,democrat,handicapped-infants,1
210A,democrat,handicapped-infants,0
211A,republican,handicapped-infants,0
212A,republican,handicapped-infants,1
213A,republican,handicapped-infants,0
214A,democrat,handicapped-infants,1
215A,democrat,handicapped-infants,0
216A,republican,handicapped-infants,0
217A,republican,handicapped-infants,0
218A,democrat,handicapped-infants,1
219A,republican,handicapped-infants,0
220A,democrat,handicapped-infants,1
221A,republican,handicapped-infants,1
222A,democrat,handicapped-infants,1
223A,democrat,handicapped-infants,1
224A,democrat,handicapped-infants,1
225A,republican,handicapped-infants,1
226A,democrat,handicapped-infants,0
227A,democrat,handicapped-infants,0
228A,democrat,handicapped-infants,0
229A,democrat,handicapped-infants,1
230A,republican,handicapped-infants,0
231A,republican,handicapped-infants,0
232A,democrat,handicapped-infants,0
1A,democrat,water-project-cost-sharing,1
2A,republican,water-project-cost-sharing,1
3A,democrat,water-project-cost-sharing,1
4A,democrat,water-project-cost-sharing,1
5A,democrat,water-project-cost-sharing,0
6A,democrat,water-project-cost-sharing,0
7A,democrat,water-project-cost-sharing,1
8A,republican,water-project-cost-sharing,0
9A,democrat,water-project-cost-sharing,1
10A,republican,water-project-cost-sharing,1
11A,democrat,water-project-cost-sharing,1
12A,republican,water-project-cost-sharing,1
13A,democrat,water-project-cost-sharing,1
14A,republican,water-project-cost-sharing,1
15A,republican,water-project-cost-sharing,1
16A,republican,water-project-cost-sharing,1
17A,democrat,water-project-cost-sharing,0
18A,democrat,water-project-cost-sharing,0
19A,democrat,water-project-cost-sharing,0
20A,democrat,water-project-cost-sharing,1
21A,democrat,water-project-cost-sharing,1
22A,democrat,water-project-cost-sharing,1
23A,republican,water-project-cost-sharing,1
24A,republican,water-project-cost-sharing,1
25A,republican,water-project-cost-sharing,1
26A,republican,water-project-cost-sharing,1
27A,republican,water-project-cost-sharing,1
28A,republican,water-project-cost-sharing,1
29A,democrat,water-project-cost-sharing,1
30A,republican,water-project-cost-sharing,1
31A,republican,water-project-cost-sharing,1
32A,republican,water-project-cost-sharing,1
33A,democrat,water-project-cost-sharing,1
34A,republican,water-project-cost-sharing,1
35A,republican,water-project-cost-sharing,0
36A,democrat,water-project-cost-sharing,0
37A,democrat,water-project-cost-sharing,1
38A,democrat,water-project-cost-sharing,1
39A,democrat,water-project-cost-sharing,1
40A,republican,water-project-cost-sharing,0
41A,republican,water-project-cost-sharing,0
42A,republican,water-project-cost-sharing,0
43A,democrat,water-project-cost-sharing,0
44A,republican,water-project-cost-sharing,0
45A,republican,water-project-cost-sharing,0
46A,democrat,water-project-cost-sharing,1
47A,democrat,water-project-cost-sharing,0
48A,democrat,water-project-cost-sharing,0
49A,democrat,water-project-cost-sharing,0
50A,democrat,water-project-cost-sharing,0
51A,democrat,water-project-cost-sharing,0
52A,democrat,water-project-cost-sharing,1
53A,democrat,water-project-cost-sharing,0
54A,democrat,water-project-cost-sharing,0
55A,democrat,water-project-cost-sharing,1
56A,republican,water-project-cost-sharing,1
57A,democrat,water-project-cost-sharing,0
58A,democrat,water-project-cost-sharing,0
59A,republican,water-project-cost-sharing,1
60A,democrat,water-project-cost-sharing,1
61A,republican,water-project-cost-sharing,0
62A,republican,water-project-cost-sharing,0
63A,democrat,water-project-cost-sharing,0
64A,republican,water-project-cost-sharing,0
65A,republican,water-project-cost-sharing,0
66A,republican,water-project-cost-sharing,1
67A,democrat,water-project-cost-sharing,0
68A,democrat,water-project-cost-sharing,0
69A,republican,water-project-cost-sharing,0
70A,republican,water-project-cost-sharing,0
71A,republican,water-project-cost-sharing,1
72A,democrat,water-project-cost-sharing,0
73A,republican,water-project-cost-sharing,1
74A,democrat,water-project-cost-sharing,0
75A,republican,water-project-cost-sharing,1
76A,democrat,water-project-cost-sharing,1
77A,democrat,water-project-cost-sharing,0
78A,republican,water-project-cost-sharing,1
79A,republican,water-project-cost-sharing,1
80A,republican,water-project-cost-sharing,1
81A,democrat,water-project-cost-sharing,1
82A,democrat,water-project-cost-sharing,0
83A,democrat,water-project-cost-sharing,1
84A,republican,water-project-cost-sharing,1
85A,republican,water-project-cost-sharing,0
86A,republican,water-project-cost-sharing,0
87A,democrat,water-project-cost-sharing,0
88A,democrat,water-project-cost-sharing,0
89A,democrat,water-project-cost-sharing,1
90A,republican,water-project-cost-sharing,0
91A,democrat,water-project-cost-sharing,0
92A,democrat,water-project-cost-sharing,0
93A,democrat,water-project-cost-sharing,0
94A,democrat,water-project-cost-sharing,1
95A,democrat,water-project-cost-sharing,0
96A,democrat,water-project-cost-sharing,0
97A,democrat,water-project-cost-sharing,0
98A,democrat,water-project-cost-sharing,0
99A,democrat,water-project-cost-sharing,1
100A,democrat,water-project-cost-sharing,0
101A,democrat,water-project-cost-sharing,0
102A,republican,water-project-cost-sharing,0
103A,democrat,water-project-cost-sharing,0
104A,republican,water-project-cost-sharing,0
105A,democrat,water-project-cost-sharing,1
106A,democrat,water-project-cost-sharing,0
107A,republican,water-project-cost-sharing,1
108A,democrat,water-project-cost-sharing,0
109A,democrat,water-project-cost-sharing,1
110A,republican,water-project-cost-sharing,1
111A,republican,water-project-cost-sharing,1
112A,democrat,water-project-cost-sharing,1
113A,republican,water-project-cost-sharing,0
114A,democrat,water-project-cost-sharing,0
115A,republican,water-project-cost-sharing,1
116A,republican,water-project-cost-sharing,1
117A,republican,water-project-cost-sharing,1
118A,republican,water-project-cost-sharing,1
119A,republican,water-project-cost-sharing,0
120A,democrat,water-project-cost-sharing,0
121A,democrat,water-project-cost-sharing,0
122A,republican,water-project-cost-sharing,0
123A,democrat,water-project-cost-sharing,0
124A,democrat,water-project-cost-sharing,0
125A,democrat,water-project-cost-sharing,0
126A,republican,water-project-cost-sharing,1
127A,republican,water-project-cost-sharing,1
128A,democrat,water-project-cost-sharing,1
129A,republican,water-project-cost-sharing,1
130A,democrat,water-project-cost-sharing,0
131A,democrat,water-project-cost-sharing,0
132A,republican,water-project-cost-sharing,0
133A,democrat,water-project-cost-sharing,0
134A,democrat,water-project-cost-sharing,0
135A,democrat,water-project-cost-sharing,0
136A,democrat,water-project-cost-sharing,0
137A,republican,water-project-cost-sharing,0
138A,republican,water-project-cost-sharing,0
139A,democrat,water-project-cost-sharing,0
140A,democrat,water-project-cost-sharing,1
141A,republican,water-project-cost-sharing,0
142A,republican,water-project-cost-sharing,0
143A,republican,water-project-cost-sharing,0
144A,republican,water-project-cost-sharing,0
145A,republican,water-project-cost-sharing,0
146A,democrat,water-project-cost-sharing,0
147A,republican,water-project-cost-sharing,0
148A,democrat,water-project-cost-sharing,0
149A,democrat,water-project-cost-sharing,1
150A,democrat,water-project-cost-sharing,0
151A,democrat,water-project-cost-sharing,1
152A,republican,water-project-cost-sharing,0
153A,democrat,water-project-cost-sharing,1
154A,democrat,water-project-cost-sharing,1
155A,republican,water-project-cost-sharing,0
156A,republican,water-project-cost-sharing,0
157A,republican,water-project-cost-sharing,0
158A,republican,water-project-cost-sharing,0
159A,republican,water-project-cost-sharing,0
160A,republican,water-project-cost-sharing,0
161A,democrat,water-project-cost-sharing,0
162A,republican,water-project-cost-sharing,0
163A,democrat,water-project-cost-sharing,0
164A,democrat,water-project-cost-sharing,1
165A,republican,water-project-cost-sharing,1
166A,republican,water-project-cost-sharing,1
167A,democrat,water-project-cost-sharing,0
168A,democrat,water-project-cost-sharing,0
169A,democrat,water-project-cost-sharing,1
170A,democrat,water-project-cost-sharing,1
171A,republican,water-project-cost-sharing,1
172A,democrat,water-project-cost-sharing,1
173A,republican,water-project-cost-sharing,1
174A,democrat,water-project-cost-sharing,1
175A,republican,water-project-cost-sharing,1
176A,democrat,water-project-cost-sharing,0
177A,democrat,water-project-cost-sharing,0
178A,democrat,water-project-cost-sharing,0
179A,republican,water-project-cost-sharing,0
180A,republican,water-project-cost-sharing,0
181A,republican,water-project-cost-sharing,0
182A,democrat,water-project-cost-sharing,0
183A,republican,water-project-cost-sharing,0
184A,republican,water-project-cost-sharing,0
185A,republican,water-project-cost-sharing,0
186A,republican,water-project-cost-sharing,1
187A,democrat,water-project-cost-sharing,1
188A,republican,water-project-cost-sharing,0
189A,republican,water-project-cost-sharing,0
190A,republican,water-project-cost-sharing,0
191A,republican,water-project-cost-sharing,0
192A,republican,water-project-cost-sharing,0
193A,democrat,water-project-cost-sharing,0
194A,democrat,water-project-cost-sharing,1
195A,republican,water-project-cost-sharing,1
196A,republican,water-project-cost-sharing,1
197A,democrat,water-project-cost-sharing,1
198A,democrat,water-project-cost-sharing,1
199A,republican,water-project-cost-sharing,1
200A,republican,water-project-cost-sharing,1
201A,democrat,water-project-cost-sharing,1
202A,republican,water-project-cost-sharing,0
203A,republican,water-project-cost-sharing,0
204A,democrat,water-project-cost-sharing,1
205A,democrat,water-project-cost-sharing,1
206A,democrat,water-project-cost-sharing,1
207A,democrat,water-project-cost-sharing,1
208A,republican,water-project-cost-sharing,1
209A,democrat,water-project-cost-sharing,1
210A,democrat,water-project-cost-sharing,1
211A,republican,water-project-cost-sharing,1
212A,republican,water-project-cost-sharing,1
213A,republican,water-project-cost-sharing,0
214A,democrat,water-project-cost-sharing,0
215A,democrat,water-project-cost-sharing,0
216A,republican,water-project-cost-sharing,0
217A,republican,water-project-cost-sharing,0
218A,democrat,water-project-cost-sharing,0
219A,republican,water-project-cost-sharing,0
220A,democrat,water-project-cost-sharing,1
221A,republican,water-project-cost-sharing,1
222A,democrat,water-project-cost-sharing,1
223A,democrat,water-project-cost-sharing,1
224A,democrat,water-project-cost-sharing,1
225A,republican,water-project-cost-sharing,1
226A,democrat,water-project-cost-sharing,1
227A,democrat,water-project-cost-sharing,0
228A,democrat,water-project-cost-sharing,1
229A,democrat,water-project-cost-sharing,0
230A,republican,water-project-cost-sharing,0
231A,republican,water-project-cost-sharing,0
232A,democrat,water-project-cost-sharing,0
1A,democrat,adoption-of-the-budget-resolution,1
2A,republican,adoption-of-the-budget-resolution,0
3A,democrat,adoption-of-the-budget-resolution,1
4A,democrat,adoption-of-the-budget-resolution,1
5A,democrat,adoption-of-the-budget-resolution,1
6A,democrat,adoption-of-the-budget-resolution,1
7A,democrat,adoption-of-the-budget-resolution,1
8A,republican,adoption-of-the-budget-resolution,0
9A,democrat,adoption-of-the-budget-resolution,1
10A,republican,adoption-of-the-budget-resolution,0
11A,democrat,adoption-of-the-budget-resolution,1
12A,republican,adoption-of-the-budget-resolution,0
13A,democrat,adoption-of-the-budget-resolution,1
14A,republican,adoption-of-the-budget-resolution,0
15A,republican,adoption-of-the-budget-resolution,0
16A,republican,adoption-of-the-budget-resolution,0
17A,democrat,adoption-of-the-budget-resolution,1
18A,democrat,adoption-of-the-budget-resolution,1
19A,democrat,adoption-of-the-budget-resolution,1
20A,democrat,adoption-of-the-budget-resolution,1
21A,democrat,adoption-of-the-budget-resolution,1
22A,democrat,adoption-of-the-budget-resolution,1
23A,republican,adoption-of-the-budget-resolution,0
24A,republican,adoption-of-the-budget-resolution,0
25A,republican,adoption-of-the-budget-resolution,0
26A,republican,adoption-of-the-budget-resolution,0
27A,republican,adoption-of-the-budget-resolution,0
28A,republican,adoption-of-the-budget-resolution,0
29A,democrat,adoption-of-the-budget-resolution,1
30A,republican,adoption-of-the-budget-resolution,0
31A,republican,adoption-of-the-budget-resolution,0
32A,republican,adoption-of-the-budget-resolution,0
33A,democrat,adoption-of-the-budget-resolution,1
34A,republican,adoption-of-the-budget-resolution,1
35A,republican,adoption-of-the-budget-resolution,1
36A,democrat,adoption-of-the-budget-resolution,1
37A,democrat,adoption-of-the-budget-resolution,1
38A,democrat,adoption-of-the-budget-resolution,1
39A,democrat,adoption-of-the-budget-resolution,1
40A,republican,adoption-of-the-budget-resolution,0
41A,republican,adoption-of-the-budget-resolution,0
42A,republican,adoption-of-the-budget-resolution,0
43A,democrat,adoption-of-the-budget-resolution,1
44A,republican,adoption-of-the-budget-resolution,0
45A,republican,adoption-of-the-budget-resolution,0
46A,democrat,adoption-of-the-budget-resolution,1
47A,democrat,adoption-of-the-budget-resolution,1
48A,democrat,adoption-of-the-budget-resolution,1
49A,democrat,adoption-of-the-budget-resolution,1
50A,democrat,adoption-of-the-budget-resolution,1
51A,democrat,adoption-of-the-budget-resolution,0
52A,democrat,adoption-of-the-budget-resolution,1
53A,democrat,adoption-of-the-budget-resolution,0
54A,democrat,adoption-of-the-budget-resolution,1
55A,democrat,adoption-of-the-budget-resolution,1
56A,republican,adoption-of-the-budget-resolution,0
57A,democrat,adoption-of-the-budget-resolution,1
58A,democrat,adoption-of-the-budget-resolution,1
59A,republican,adoption-of-the-budget-resolution,1
60A,democrat,adoption-of-the-budget-resolution,1
61A,republican,adoption-of-the-budget-resolution,0
62A,republican,adoption-of-the-budget-resolution,0
63A,democrat,adoption-of-the-budget-resolution,1
64A,republican,adoption-of-the-budget-resolution,0
65A,republican,adoption-of-the-budget-resolution,0
66A,republican,adoption-of-the-budget-resolution,0
67A,democrat,adoption-of-the-budget-resolution,1
68A,democrat,adoption-of-the-budget-resolution,1
69A,republican,adoption-of-the-budget-resolution,0
70A,republican,adoption-of-the-budget-resolution,0
71A,republican,adoption-of-the-budget-resolution,0
72A,democrat,adoption-of-the-budget-resolution,0
73A,republican,adoption-of-the-budget-resolution,0
74A,democrat,adoption-of-the-budget-resolution,1
75A,republican,adoption-of-the-budget-resolution,0
76A,democrat,adoption-of-the-budget-resolution,1
77A,democrat,adoption-of-the-budget-resolution,1
78A,republican,adoption-of-the-budget-resolution,0
79A,republican,adoption-of-the-budget-resolution,0
80A,republican,adoption-of-the-budget-resolution,0
81A,democrat,adoption-of-the-budget-resolution,0
82A,democrat,adoption-of-the-budget-resolution,0
83A,democrat,adoption-of-the-budget-resolution,1
84A,republican,adoption-of-the-budget-resolution,0
85A,republican,adoption-of-the-budget-resolution,1
86A,republican,adoption-of-the-budget-resolution,1
87A,democrat,adoption-of-the-budget-resolution,1
88A,democrat,adoption-of-the-budget-resolution,0
89A,democrat,adoption-of-the-budget-resolution,1
90A,republican,adoption-of-the-budget-resolution,1
91A,democrat,adoption-of-the-budget-resolution,1
92A,democrat,adoption-of-the-budget-resolution,1
93A,democrat,adoption-of-the-budget-resolution,1
94A,democrat,adoption-of-the-budget-resolution,1
95A,democrat,adoption-of-the-budget-resolution,1
96A,democrat,adoption-of-the-budget-resolution,0
97A,democrat,adoption-of-the-budget-resolution,1
98A,democrat,adoption-of-the-budget-resolution,1
99A,democrat,adoption-of-the-budget-resolution,1
100A,democrat,adoption-of-the-budget-resolution,1
101A,democrat,adoption-of-the-budget-resolution,1
102A,republican,adoption-of-the-budget-resolution,1
103A,democrat,adoption-of-the-budget-resolution,1
104A,republican,adoption-of-the-budget-resolution,0
105A,democrat,adoption-of-the-budget-resolution,1
106A,democrat,adoption-of-the-budget-resolution,1
107A,republican,adoption-of-the-budget-resolution,0
108A,democrat,adoption-of-the-budget-resolution,1
109A,democrat,adoption-of-the-budget-resolution,1
110A,republican,adoption-of-the-budget-resolution,0
111A,republican,adoption-of-the-budget-resolution,0
112A,democrat,adoption-of-the-budget-resolution,1
113A,republican,adoption-of-the-budget-resolution,0
114A,democrat,adoption-of-the-budget-resolution,1
115A,republican,adoption-of-the-budget-resolution,1
116A,republican,adoption-of-the-budget-resolution,0
117A,republican,adoption-of-the-budget-resolution,0
118A,republican,adoption-of-the-budget-resolution,0
119A,republican,adoption-of-the-budget-resolution,0
120A,democrat,adoption-of-the-budget-resolution,1
121A,democrat,adoption-of-the-budget-resolution,1
122A,republican,adoption-of-the-budget-resolution,0
123A,democrat,adoption-of-the-budget-resolution,1
124A,democrat,adoption-of-the-budget-resolution,1
125A,democrat,adoption-of-the-budget-resolution,1
126A,republican,adoption-of-the-budget-resolution,0
127A,republican,adoption-of-the-budget-resolution,0
128A,democrat,adoption-of-the-budget-resolution,1
129A,republican,adoption-of-the-budget-resolution,0
130A,democrat,adoption-of-the-budget-resolution,1
131A,democrat,adoption-of-the-budget-resolution,1
132A,republican,adoption-of-the-budget-resolution,0
133A,democrat,adoption-of-the-budget-resolution,1
134A,democrat,adoption-of-the-budget-resolution,1
135A,democrat,adoption-of-the-budget-resolution,1
136A,democrat,adoption-of-the-budget-resolution,1
137A,republican,adoption-of-the-budget-resolution,0
138A,republican,adoption-of-the-budget-resolution,0
139A,democrat,adoption-of-the-budget-resolution,1
140A,democrat,adoption-of-the-budget-resolution,1
141A,republican,adoption-of-the-budget-resolution,0
142A,republican,adoption-of-the-budget-resolution,0
143A,republican,adoption-of-the-budget-resolution,1
144A,republican,adoption-of-the-budget-resolution,0
145A,republican,adoption-of-the-budget-resolution,0
146A,democrat,adoption-of-the-budget-resolution,1
147A,republican,adoption-of-the-budget-resolution,0
148A,democrat,adoption-of-the-budget-resolution,1
149A,democrat,adoption-of-the-budget-resolution,1
150A,democrat,adoption-of-the-budget-resolution,1
151A,democrat,adoption-of-the-budget-resolution,1
152A,republican,adoption-of-the-budget-resolution,1
153A,democrat,adoption-of-the-budget-resolution,0
154A,democrat,adoption-of-the-budget-resolution,1
155A,republican,adoption-of-the-budget-resolution,0
156A,republican,adoption-of-the-budget-resolution,0
157A,republican,adoption-of-the-budget-resolution,0
158A,republican,adoption-of-the-budget-resolution,0
159A,republican,adoption-of-the-budget-resolution,0
160A,republican,adoption-of-the-budget-resolution,0
161A,democrat,adoption-of-the-budget-resolution,0
162A,republican,adoption-of-the-budget-resolution,0
163A,democrat,adoption-of-the-budget-resolution,1
164A,democrat,adoption-of-the-budget-resolution,1
165A,republican,adoption-of-the-budget-resolution,1
166A,republican,adoption-of-the-budget-resolution,0
167A,democrat,adoption-of-the-budget-resolution,0
168A,democrat,adoption-of-the-budget-resolution,0
169A,democrat,adoption-of-the-budget-resolution,1
170A,democrat,adoption-of-the-budget-resolution,1
171A,republican,adoption-of-the-budget-resolution,0
172A,democrat,adoption-of-the-budget-resolution,0
173A,republican,adoption-of-the-budget-resolution,0
174A,democrat,adoption-of-the-budget-resolution,1
175A,republican,adoption-of-the-budget-resolution,0
176A,democrat,adoption-of-the-budget-resolution,1
177A,democrat,adoption-of-the-budget-resolution,1
178A,democrat,adoption-of-the-budget-resolution,1
179A,republican,adoption-of-the-budget-resolution,0
180A,republican,adoption-of-the-budget-resolution,0
181A,republican,adoption-of-the-budget-resolution,0
182A,democrat,adoption-of-the-budget-resolution,1
183A,republican,adoption-of-the-budget-resolution,0
184A,republican,adoption-of-the-budget-resolution,0
185A,republican,adoption-of-the-budget-resolution,0
186A,republican,adoption-of-the-budget-resolution,1
187A,democrat,adoption-of-the-budget-resolution,0
188A,republican,adoption-of-the-budget-resolution,1
189A,republican,adoption-of-the-budget-resolution,1
190A,republican,adoption-of-the-budget-resolution,1
191A,republican,adoption-of-the-budget-resolution,0
192A,republican,adoption-of-the-budget-resolution,0
193A,democrat,adoption-of-the-budget-resolution,1
194A,democrat,adoption-of-the-budget-resolution,1
195A,republican,adoption-of-the-budget-resolution,0
196A,republican,adoption-of-the-budget-resolution,0
197A,democrat,adoption-of-the-budget-resolution,0
198A,democrat,adoption-of-the-budget-resolution,1
199A,republican,adoption-of-the-budget-resolution,0
200A,republican,adoption-of-the-budget-resolution,0
201A,democrat,adoption-of-the-budget-resolution,0
202A,republican,adoption-of-the-budget-resolution,0
203A,republican,adoption-of-the-budget-resolution,0
204A,democrat,adoption-of-the-budget-resolution,1
205A,democrat,adoption-of-the-budget-resolution,1
206A,democrat,adoption-of-the-budget-resolution,0
207A,democrat,adoption-of-the-budget-resolution,0
208A,republican,adoption-of-the-budget-resolution,0
209A,democrat,adoption-of-the-budget-resolution,1
210A,democrat,adoption-of-the-budget-resolution,1
211A,republican,adoption-of-the-budget-resolution,0
212A,republican,adoption-of-the-budget-resolution,0
213A,republican,adoption-of-the-budget-resolution,0
214A,democrat,adoption-of-the-budget-resolution,1
215A,democrat,adoption-of-the-budget-resolution,0
216A,republican,adoption-of-the-budget-resolution,0
217A,republican,adoption-of-the-budget-resolution,0
218A,democrat,adoption-of-the-budget-resolution,1
219A,republican,adoption-of-the-budget-resolution,0
220A,democrat,adoption-of-the-budget-resolution,1
221A,republican,adoption-of-the-budget-resolution,0
222A,democrat,adoption-of-the-budget-resolution,1
223A,democrat,adoption-of-the-budget-resolution,1
224A,democrat,adoption-of-the-budget-resolution,1
225A,republican,adoption-of-the-budget-resolution,1
226A,democrat,adoption-of-the-budget-resolution,1
227A,democrat,adoption-of-the-budget-resolution,1
228A,democrat,adoption-of-the-budget-resolution,1
229A,democrat,adoption-of-the-budget-resolution,1
230A,republican,adoption-of-the-budget-resolution,0
231A,republican,adoption-of-the-budget-resolution,1
232A,democrat,adoption-of-the-budget-resolution,1
1A,democrat,physician-fee-freeze,0
2A,republican,physician-fee-freeze,1
3A,democrat,physician-fee-freeze,0
4A,democrat,physician-fee-freeze,0
5A,democrat,physician-fee-freeze,0
6A,democrat,physician-fee-freeze,0
7A,democrat,physician-fee-freeze,0
